감자스프						4																						3																																									1																						-	124	-	-	4	광천수 2	15	377	1,247	2,494	1,247
계란후라이									9																					2															1																																														-	650	-	-	4	조개 2	30	5,752	6,504	13,008	6,504
고래기름									3																																2																																																		-	435	-	-	-	-	-	-	4,358	8,716	4,358
구야시레베시			2		3																																					3	2			1																							3																						-	505	-	-	3	복숭아 3	70	3,718	5,057	10,114	5,057
그릴드 허브 치킨																									6																																													3			5								3										-	1,109	-	-	4	오동나무 3	60	7,530	11,092	22,184	11,092
꽁치 구이									3															1											2								1		2																																														-	478	-	-	4	광천수 3	30	3,480	4,780	9,560	4,780
꿀레몬청								2				2					2						3					4					2																																																										-	876	-	-	-	-	-	-	8,765	17,530	8,765
노블레스 향긋한 레몬 코냑				6				12	8					15	4	3						10	13	17					2						6					3		20	15	16			3	6		2																		2								10															205	20,592	496	55.11	-	-	-	-	205,921	411,842	205,921
달콤 디저트 파티 테이블	5	20		37				20																2	14	10		50	13					4									6			3	3	3																														5													103	10,341	771	48.19	-	-	-	-	103,414	206,828	103,414
당근 도넛 케이크					3			6									5							10	1			19																5																																															-	1,205	-	-	4	토끼털 2	70	10,604	12,058	24,116	12,058
당근 머핀	5				3				6																					3																																																													-	461	-	-	3	철 3	70	2,817	4,618	9,236	4,618
당근 주스					3									3																			3																																														5												-	94	-	-	3	자갈 3	70	104	948	1,896	948
따뜻한 오늘의 커피																		3					4			2																3	6																																																15	1,518	115	28.75	-	-	-	-	15,181	30,362	15,181
딸기 쇼트 케이크	2	2						4																				10		5																																																													-	330	-	-	3	노란장미 3	20	2,662	3,306	6,612	3,306
딸기 케이크	1	1																																																																																									-	2	-	-	2	씨앗 1	1		27	54	27
딸기잼 듬뿍 식빵	1	1																										1																																																															-	5	-	-	2	자갈 1	1		56	112	56
딸기잼 바스트 햄퍼	4	5		2																										2																																																													-	64	-	-	4	노란장미 2	15	115	641	1,282	641
랍스터 치즈 화덕구이						5																						15									5						1																																																-	633	-	-	5	말가죽 2	40	4,446	6,332	12,664	6,332
랍스터 피자	15		64			25		18	12					2		2						15		8	3			102							2	51	30		9	2		30	33	23	21	7		9		2																			6			6				11										6					-	39,121	-	-	4	백금 원석 2	70	385,654	391,210	782,420	391,210
레몬 머랭 쿠키								4															6					10		5													3																																	3															-	1,072	-	-	5	알루미늄 원석 1	60	8,850	10,727	21,454	10,727
레몬 머랭 타르트								4															6	1				10		5													4																																	3					2										-	2,869	-	-	5	호두나무 4	60	22,675	28,699	57,398	28,699
로얄 에클레어 세트	1	4		1															8			5		2				16	1														2																																			1													-	1,979	-	-	4	상어 4	70	16,591	19,799	39,598	19,799
로얄 카나페 세트	5		5																					1	1			9								3			3				1	1																									2																						-	894	-	-	5	데코협회 뱃지 3	60	6,641	8,941	17,882	8,941
로얄골드 홍차															3																												3																																						3										-	319	-	-	3	소가죽 2	20	2,008	3,196	6,392	3,196
로지 로즈티								2		4		2			3		2						3					4					2										3																																					5	3										-	2,026	-	-	6	백금 원석 2	80	16,876	20,264	40,528	20,264
메이플 모닝 팬케이크	6																											6					1																																																										-	36	-	-	3	전나무 2	10	68	366	732	366
모닝 로얄 크로와상	6	7		8			8		4					15	4	3							3	18				18	2	2					6					3			9	4			3			2																		2								4															61	6,141	213	53.25	-	-	-	-	61,413	122,826	61,413
모닝 베이글 샌드위치	2		3								4																	8																																									4																						-	548	-	-	4	레몬 1	20	4,503	5,484	10,968	5,484
무스 오 쇼콜라								4				4							4						1			16					4										3	1																																															-	1,909	-	-	6	금사 1	60	14,772	19,095	38,190	19,095
바닐라 시럽								2				2																4					2																																																										-	390	-	-	-	-	-	-	3,907	7,814	3,907
