22년산 보틀 바스켓									4					3																					2							2	9	4																															2	5			6	2											18	1,884	2*2	164	41.00	18,842	37,684	18,842
가드닝 파티 청정 화분				3										6										6	3				3						4							3	20	6																															2	5	18			2											34	3,415	4*2	282	35.25	34,154	68,308	34,154
관상용 노란 꽃 덤불															9									8																			9																																10		4		2	6	9		8								19	1,931	3*3	197	21.89	19,314	38,628	19,314
관상용 흰 꽃 덤불	12							12	6							12								8				42																																															10		4		2	6				8							19	1,955	3*3	199	22.11	19,559	39,118	19,559
그릇																																											2			1																																													-	53	-	-	-	1,722	3,444	1,722
그린 올웨이즈 조형 나무																6								5																6			23	5																																24	30														52	5,296	3*3	373	41.44	52,964	105,928	52,964
기초 화장품 세트										3							2																									3	3	3																																3															8	810	2*2	99	24.75	8,102	16,204	8,102
깔끔한 화이트 프레임 유리 파티션																																											3			4	4																													3								5							12	1,254	4*1	107	26.75	12,546	25,092	12,546
꽃송이 도트 화분		10												3																					2								15	1																															7	4				4											15	1,517	2*2	141	35.25	15,179	30,358	15,179
꿈속의 유니콘 구름 벽등				90										30		21								18	18				27		15	10		54	20					21			35	26			18	6	3	14									3																	35															556	55,645	4*5	886	44.30	556,451	1,112,902	556,451
꿈속의 유니콘 하늘 바닥														9		15	54	6	32					120	24		18	44							6	15	10			15		120	68	8		96	8			6		18		18	4	2			5						5개			5			10			10		68						53	25	21							1,370	137,074	-	-	-	1,370,749	2,741,498	1,370,749
꿈속의 유니콘 하늘 벽지				20										72		24	108						24	104	80	112				15	40				63					24	15	360	32	32		100						36	12	60					10			14		5개				5		25	10					32		30				50									2,634	263,475	-	-	-	2,634,759	5,269,518	2,634,759
난초 화분				3										6										4	3				3						4								9	2																															2	5	8			2											16	1,671	2*2	146	36.50	16,719	33,438	16,719
네이비 도트 싱크대										5				12			2							6	12										8								5	22		12																														5						6									66	6,690	6*3	620	34.44	66,901	133,802	66,901
노란 장미 화분																																											4																																2					2											1	176	2*2	45	11.25	1,762	3,524	1,762
노란 프리지아 화병														3																					2								8	1																															2	4				2											7	792	2*2	99	24.75	7,922	15,844	7,922
노블레스 다이닝 키친 싱크대				8					6	10				39	4	3	4						3	39	72				4					8	22					3	4		19	68		24	3			2												3	4					9								14						12				35	20				382	38,227	8*3	1,236	51.50	382,277	764,554	382,277
노블레스 다이아몬드 로즈 벽지				10										36		12	48						12	52	40	56					20				24					12		160	16	16		44						18	6	24					5			4														16						22									832	83,249	-	-	-	832,491	1,664,982	832,491
노블레스 다이아몬드 스톤 타일														9		15	42	6	22					80	24		18	44							6					15		80	48	8		72				6		12		12	4				5																	48						41		21							757	75,773	-	-	-	757,735	1,515,470	757,735
노블레스 라이브러리 매트 창				192										45										163	98	80	18		48	27		18		30	30								145	53		72	27	4																				24			9				6	121	12		16	6		24		30			40				1,714	171,484	11*10	5,274	47.95	1,714,846	3,429,692	1,714,846
노블레스 로얄 골드라인 티포트 세트				12										48	26	6							6	60	14				4						24					6		32	140	64			54			4													15					4								14					18										460	46,049	-	-	-	460,492	920,984	460,492
노블레스 로얄 플라워 센터피스														12		3								2											8					3		3	45	9						2													10												2	41				2											99	9,913	2*2	263	65.75	99,139	198,278	99,139
노블레스 마블 롬버스 바닥														6		12	42	6	22					80	24		18	44							4					12		80	46	6		72	4			2		12		12	4							4														46						41		11							715	71,509	-	-	-	715,090	1,430,180	715,090
노블레스 마블 필라 벽지				10													48							52	40	32					20											160				12						18	6	24								6																				9									671	67,121	-	-	-	671,215	1,342,430	671,215
노블레스 백금 바닥																6	24	6	12					20	24		18	24						18						6		26	12	2		12		6				3		3	2																					12						11		11		60					286	28,626	-	-	-	286,266	572,532	286,266
노블레스 소형 벽난로									3					15			12								8	3	8			12					10						2	40	5	10		10	5	2						12																						5						5									139	13,988	6*2	753	62.75	139,888	279,776	139,888
노블레스 수국 자기 화분	24							32	12			4			18	24		6						34				96					4									2	28	2		3																													42		12		6	20	18		16	16							157	15,760	3*3	505	56.11	157,608	315,216	157,608
노블레스 실링골드 벽지				5										6		6	12						6	51	40	28					10			28	4					6		40	4	4		12		6				3	3	6		2																				4						6									343	34,379	-	-	-	343,797	687,594	343,797
노블레스 아치형 벽지				5										6		12	24						6	26	20	28					10				4					12		80	4	4		22				2			21	3																						4						11				60					326	32,633	-	-	-	326,334	652,668	326,334
노블레스 원목 벽걸이 거울														36		12								16	20	16									24					12			52	64				10		8					4													48			48					52				12											466	46,670	4*6	1,109	46.21	466,708	933,416	466,708
노블레스 자기 화병		24		6								5		15										8	6				6						10								25	5																															7	16	26		8	25											71	7,170	2*2	232	58.00	71,709	143,418	71,709
노블레스 카트린느 화장대		2		9						5				12		9		3						28	11	8			3		9			12	8					9		3	23	14				7	2																			11			8	8				20				3						50					260	26,034	6*2	817	68.08	260,345	520,690	260,345
노블레스 커튼문								10				10		12		9	19						15	60	88	16	21	20		18			10	12	8					9			13	47		22	4	4	2																											13		4		24		11				110					894	89,404	8*10	3,804	47.55	894,042	1,788,084	894,042
노블레스 펠리스 바닥																6	30	6	22					40	24		18	44												6		40	22	2		48						6		6	4																					22						29		11							389	38,965	-	-	-	389,651	779,302	389,651
노블레스 화이트 로즈 퍼퓸 디퓨저				6					12	5				15		6								8	2				2						10					6	8	3	51	12						4													10												2	47				2											200	20,081	3*3	487	54.11	200,816	401,632	200,816
노블레스 화이트 마블 전신거울														3		3	18							8	34		18								2					3			8	2						2								2					3					4								8				6											124	12,408	3*2	311	51.83	124,080	248,160	124,080
도자기 커피통 세트								4										2										6															6			3																																													9	959	3*2	128	21.33	9,599	19,198	9,599
둥근 토피어리 화분																								5																			6																																	3	10														3	384	2*2	65	16.25	3,841	7,682	3,841
라벤더향 디퓨저										5															2																		1	1																																1															5	585	2*2	78	19.50	5,854	11,708	5,854
라벤더향 향초									3	4																															2		1	1																																1															10	1,012	2*2	104	26.00	10,127	20,254	10,127
로맨틱한 분홍 장미																																											8	1																															12	4				2											9	962	2*2	107	26.75	9,624	19,248	9,624
로즈우드 앤틱 전신거울																								4	5																		3																									2								3				3											6	666	3*2	102	17.00	6,666	13,332	6,666
맑은 리본 거울																								4																			3																									2								3															2	248	3*4	77	6.42	2,480	4,960	2,480
미니 딸기꽃 화분		10																																									3																																3																1	131	2*2	38	9.50	1,311	2,622	1,311
미니 레드 스퀘어 화병														3																					2								13	1																															2	4				2											11	1,142	2*2	124	31.00	11,429	22,858	11,429
밤을 새운 부엉이 머그잔	10																	6						4	1	2																6	6	1																																		1													17	1,772	2*2	134	33.50	17,729	35,458	17,729
벚꽃 리본 화병		2		4										9								4		4	3				3						6								10	3																															2	6	8			2											30	3,075	2*2	228	57.00	30,753	61,506	30,753
베아트리체 앤틱 찻잔 세트														3	3									2											2							3	4	7			8																													1					3										23	2,360	2*3	210	35.00	23,609	47,218	23,609
별빛 숲속 캠핑장 캠프파이어 장														18		36	108	18	56					180	72		54	112						18	12					36		186	128	18		176		6		12		27		27	10				10							8										108						93		53		60					2,692	269,264	11*11	4,505	37.23	2,692,647	5,385,294	2,692,647
별을 머금은 구슬				18									3												12				30	3				9	3						3							3											2					1개				1		5	2							6	12												51	5,103	-	-	-	51,032	102,064	51,032
봄날 소복한 꽃길												10				3																																																											6	10				10											21	2,131	3*3	171	19.00	21,311	42,622	21,311
봄날 총총 꽃길												5																																																															3	5				5											7	738	3*3	77	8.56	7,381	14,762	7,381
빨간 포포레스 사각화분																3								4		8														3		2	5	3																															4	1															28	2,874	3*2	213	35.50	28,745	57,490	28,745
산호 장식																																														10																																				5	5	5	2						16	1,608	-	-	-	16,087	32,174	16,087
석조 노블레스 창문				60										18										40	40	12			12						12								47	18		30	12																													47			8			9		15			20				276	27,680	4*10	1,634	40.85	276,802	553,604	276,802
소스병 2종 세트			10						6																2																		2	2																																2															10	1,035	2*2	115	28.75	10,355	20,710	10,355
써클렛 타일														6			6																		4							20	14	2		16					3		3																							2						8									60	6,078	-	-	-	60,781	121,562	60,781
에버그린 공기 정화용 화분														3				5																	2								7	1		3																													3	1	10														13	1,326	2*2	112	28.00	13,269	26,538	13,269
에버그린 벽걸이 호야 화분				6																				8	6				6															2			2																					4									16														12	1,226	4*5	147	7.35	12,267	24,534	12,267
에코 비누 세트										5							2																										1	1																																1															5	531	2*2	73	18.25	5,310	10,620	5,310
올리브 그린 포슬린																								1																			1	1																																	1														1	129	2*3	35	5.83	1,291	2,582	1,291
유러피안 그린피스 액자																								24																			6	5																																2	4				2										12	1,280	4*4	199	12.44	12,809	25,618	12,809
유러피안 봄날 액자																								22																			2	3																																	2														5	578	6*4	142	5.92	5,781	11,562	5,781
유러피안 화려한 장미 꽃병																																											7																																2	3				2											4	437	2*2	67	16.75	4,373	8,746	4,373
유리																																											1																																	1															-	37	-	-	-	375	750	375
유리병																																											1	1																																1															1	107	-	-	-	1,078	2,156	1,078
율마 자기 화분														3																					2								7	1																																1	10														6	643	2*2	87	21.75	6,430	12,860	6,430
자연주의 에코 브릭 바닥																6	6	6	12					20				24												6		20	12	2		12						3		3	2																					12						11		11							125	12,508	-	-	-	125,083	250,166	125,083
전통 다기 세트																								2	2																	2	14	2																																															12	1,210	2*3	128	21.33	12,107	24,214	12,107
점토																																											3																																																-	36	-	-	-	367	734	367
접시																								1																			1																																																-	53	-	-	-	533	1,066	533
진주 보석함				37				2	18	9		2		6	3	9	2		4		8		3	14	48	10	10	12	13	15			2	4	4					9	12		19	5		16	3	3	2	2												3				2		24								5				17	3	6			5						113	11,315	-	-	-	113,155	226,310	113,155
진주 조개																			2																	3																								1개						1								2								5			3						16	1,609	-	-	-	16,096	32,192	16,096
찻잔																																											3																																																1	147	-	-	-	1,472	2,944	1,472
초록잎 미니가든 장식				24										3												8			8						2								13	1		4	1																												2	7	2			2		2									64	6,461	3*3	418	46.44	64,612	129,224	64,612
초코 리본 타일																	6		10					20				20														20	10			22						3		3																						10						11									77	7,702	-	-	-	77,022	154,044	77,022
코코넛 그릇									9												4																				6		4			8																																				3									32	3,284	-	-	-	32,846	65,692	32,846
통통비치 별모래성		4		2										15																					10								17	5																																5						3	1								23	2,372	4*4	285	17.81	23,728	47,456	23,728
통통비치 조개 액자																																														6																						6														3	5								8	847	4*5	147	7.35	8,478	16,956	8,478
통통비치 해변 램프														3																					2								1	1		4	1																													1						2									9	929	2*2	106	26.50	9,292	18,584	9,292
티타임 캐니스터 세트								8				4						6										14					4										10			3																													2					2											28	2,849	2*2	184	46.00	28,498	56,996	28,498
티포트 선반 세트																								26	4																	2	12	2																																															16	1,624	5*5	281	11.24	16,248	32,496	16,248
포포레스랜드 굽은 오른쪽 오솔길	9	207		555	34			18	27	30				60	9	108	45	27			21			324	175	44	80	57	370	75	141	27		232	40		15			108	18	27	154	145				44	18	18						3	15					20	9			15		31			68	120			4	100	60		120	13				35							7,639	763,995	4*4	94	5.88	7,639,957	15,279,914	7,639,957
포포레스랜드 굽은 왼쪽 오솔길	9	207		764	34			18	27	30				54	9	108	63	27			21			318	231	79	96	57	428	72	144	27		236	36		15			108	18	27	128	171			18	54	18	18						3	15						2			15		41			80	120				92	60		120	9				40							8,131	813,116	4*4	94	5.88	8,131,169	16,262,338	8,131,169
포포레스랜드 십자 오솔길	53	20		37	15		6	112	24					150	16	250	20		12	8	23	5		154	142	74		242	13					4	100		9			192		57	211	237		23	56	31	24							10		20	2				31				5	20			60	15			40	205	16	13	8	72	24	10		32		250					6,155	615,565	4*4	94	5.88	6,155,659	12,311,318	6,155,659
포포레스랜드 일자 오솔길	53	20		37	25		6	112	24					150	16	250	20		12	8	23	5		154	142	74		242	13					4	100		15			192		57	213	239		23	56	31	24							10		20	2				33				5	20			60	15			40	207	16	13	8	72	24	10		32		250					6,019	601,936	4*4	94	5.88	6,169,079	12,338,158	6,169,079
포포레스랜드 벌룬팝		84		52								105		243		39	216	27						219	24	8			74		20	24		44	162					12		667	206	95		18	26	8	3		72		66	54	1							4	18			6	2	75			30	10			79	224	78		52	172		9	15	25							4,757	475,773	2*10	3,154	157.70	4,757,739	9,515,478	4,757,739
포포레스랜드 별의 세계로 굽은 오른쪽 오솔길	10	312		236					60			65	3	366		165	249		24				24	208	358	112	141		128	54	40			9	262	36				165	94	608	293	97		100		89	10	66		41	12	60					12			14	22			3		6		90	12			24	91	326	338	48	166	325		50									11,750	1,175,071	4*4	94	5.88	11,750,718	23,501,436	11,750,718
포포레스랜드 별의 세계로 굽은 왼쪽 오솔길	10	312		198					60			65		303		156	195	6	56					224	290		159	44	98	36					202	51	10			156	76	368	329	73		116	8	86	10	72		18		23	4	2			5				22			3		5		60	10			34	91	362	338	12	154	325		63	35	31	4						9,826	982,604	4*4	94	5.88	9,826,046	19,652,092	9,826,046
포포레스랜드 별의 세계로 십자 오솔길	10	312		236					60			65	3	366		165	249		24				24	208	358	112	141		128	54	40			9	262	36				165	94	608	293	97		100		89	10	66		41	12	60					12			14	22			3		6		90	12			24	91	326	338	48	166	325		50									11,750	1,175,071	4*4	94	5.88	11,750,718	23,501,436	11,750,718
포포레스랜드 별의 세계로 일자 오솔길	10	312		198					60			65		303		156	195	6	56					224	290		159	44	98	36					202	51	10			156	76	368	329	73		116	8	86	10	72	5	18		18	4	2			5				22			3		5		60	10			34	91	362	338	12	154	325		63	35	31	4						9,826	982,604	4*4	94	5.88	9,826,046	19,652,092	9,826,046
포포르도 와인								6	4													5																				10	3	6				3																												3															49	4,968	2*2	187	46.75	49,682	99,364	49,682
포포르도 와인잔								6	4													5																				5	2	4				3																												2															25	2,570	2*2	187	46.75	25,704	51,408	25,704
퓨어 화이트 타일																	6							20																		20	10			12						3		3																						10						6									40	4,010	-	-	-	40,102	80,204	40,102
프레쉬 나뭇잎 세면대										5							2																									5	1	7		6																														1						3									19	1,936	4*3	252	21.00	19,369	38,738	19,369
플라워 선인장 화분																																											5																																	3	2														2	276	2*2	55	13.75	2,768	5,536	2,768
플라워 포슬린										6				9										2											6								5	5																																3	2			6											18	1,899	3*5	231	15.40	18,998	37,996	18,998
하얀 수국 화분																																											5																																2	3															2	273	2*2	55	13.75	2,733	5,466	2,733
하우스 뷔페 은제 그릇				6										6										5					2						4								7	2			3																													2															15	1,502	2*2	133	33.25	15,020	30,040	15,020
해피바스 리본 스트랩 러그				9																									13		5																																																												4	476	4*2	68	8.50	4,762	9,524	4,762
해피바스 리본액자 수건걸이																								6	14						3												1	2																																1															12	1,219	3*4	163	13.58	12,195	24,390	12,195
해피바스 벽장식 스탠드				5																																							2	3																																2				5											4	478	2*2	62	15.50	4,782	9,564	4,782
해피바스 빈티지 파이프 세면대										3				6			2							3	6										4							3	10	5																																5				3											29	2,972	4*2	315	39.38	29,723	59,446	29,723
해피바스 수건 바구니	2			16																									4																																																		10												3	353	2*2	53	13.25	3,533	7,066	3,533
해피바스 아로마 오일 테이블				6						5														6	2				2														4	1																																4															11	1,174	2*2	124	31.00	11,747	23,494	11,747
호스타 우드 플랜터				3																				4	3				3																																																8														2	245	2*2	49	12.25	2,456	4,912	2,456
화려한 은제 촛대									3																	3															2						5	2																																											20	2,018	2*2	166	41.50	20,181	40,362	20,181
화병																																											3																																	3															1	148	-	-	-	1,488	2,976	1,488
화이트엔젤 미니 화분														12		3								2											8					3		3	45	9						2													10			2	3								10	41				2											159	15,991	2*2	293	73.25	159,915	319,830	159,915
화이트엔젤 보건소 커튼창				127				10		5		10		48		9	19						15	140	168	40	21	20	31	18			10	12	32					9			107	83		82	28	4	2						3																					107		4	16	24		29		30		110	40				2,136	213,694	6*10	3,755	62.58	2,136,945	4,273,890	2,136,945
화이트엔젤 약품 수납장								16				8		21		15		12	6					134	6	44		28					8	12	14	9				15			106	40		62	56	14	2											3개								40			4			6	4	68	26			4				70		100					1,256	125,632	7*6	2,506	59.67	1,256,327	2,512,654	1,256,327
화이트엔젤 주전자 호롱등	20								9	12								12						14	8	4															6	18	63	11																							5									3		2													164	16,409	2*2	303	75.75	164,098	328,196	164,098
화이트엔젤 크루시아 화분				36										6				5						16	12	8			20						4								20	6		7	5																					8							15	8	44			2		2									159	15,991	2*2	297	74.25	149,225	298,450	149,225
힐링 스파 밀라노 월넛 세면대				230				36		30		20		66	6	24	76	24	8				6	56	196	108	68	80	88	48			20	64	44					24		52	170	66		12	18	34	4	4	12											6	12			5	10	48							16	58	72			50	6			14		80					3,996	399,627	6*2	3,403	283.58	3,996,276	7,992,552	3,996,276
