가봉을 마친 노블레스 나이트 드레스		12		43				6	4													5		27	4				23		8	14		72								5	6	12			2	16									3	2	1									13			13	3				6											60				619	61,924	-	-	-	619,246	1,238,492	619,246
가봉을 마친 노블레스 나이트 파자마		12		43				6	4													5		27	4				23		8	14		72								5	6	12			2	16									3	2	1									13			13	3				6											60				619	61,924	-	-	-	619,246	1,238,492	619,246
가봉을 마친 노블레스 드 로브		4		39																				20	4				21					58									4	8			2	11									3	2										12			6	3				4											60				270	27,075	-	-	-	270,750	541,500	270,750
가봉을 마친 노블레스 드 쥐스토코르		4		39																				20	4				21					58									4	8			2	11									3	2										12			6	3				4											60				270	27,075	-	-	-	270,750	541,500	270,750
가봉을 마친 노블레스 유능한 남집사 제복		92		235				6	4	5												13		59	6				144		58	18		120								5	7	13			2	24									3	2	1									21			23	23				7	10		53								60				1,344	134,404	-	-	-	1,344,049	2,688,098	1,344,049
가봉을 마친 노블레스 유능한 여집사 제복		92		235				6	4	5												13		59	6				144		58	18		120								5	7	13			2	24									3	2	1									21			23	23				7	10		53								60				1,344	134,404	-	-	-	1,344,049	2,688,098	1,344,049
가봉을 마친 리본 타이 반바지				38																									11																																							6																							-	1,135	-	-	-	11,352	22,704	11,352
가봉을 마친 모던 남성 정장		4		36																				20	4				18					40									4	8			2																					10				3				4															-	9,869	-	-	-	98,695	197,390	98,695
가봉을 마친 모던 여성 정장		4		36																				20	4				18					40									4	8			2																					10				3				4															-	9,869	-	-	-	98,695	197,390	98,695
가봉을 마친 별무늬 맨투맨 반바지				5																									2																																							1																							-	117	-	-	-	1,170	2,340	1,170
가봉을 마친 별무늬 맨투맨 청바지				5																									2																																							1																							-	117	-	-	-	1,170	2,340	1,170
가봉을 마친 쉐프 볼륨 스커트				24																				10	4				14					20										8																								6																							-	3,945	-	-	-	39,459	78,918	39,459
가봉을 마친 쉐프 에이프런 바지				24																				10	4				14					20										8																								6																							-	3,945	-	-	-	39,459	78,918	39,459
가봉을 마친 에이프런 프릴 원피스				38																									11																																							6																							-	1,135	-	-	-	11,352	22,704	11,352
가봉을 마친 여유만만 직장 선배 복장		6		37																				20	4				18					40									4	8			4																					23			3	3				4															-	15,201	-	-	-	152,016	304,032	152,016
가봉을 마친 열정적인 신입사원 복장		6		37																				20	4				18					40									4	8			4																					23			3	3				4															-	15,201	-	-	-	152,016	304,032	152,016
가봉을 마친 윈터벨 망토 원피스				30																									10		10													4																								2			6	5																			-	2,578	-	-	-	25,780	51,560	25,780
가봉을 마친 윈터벨 코트 의상				30																									10		10													4																								2			6	5																			-	2,578	-	-	-	25,780	51,560	25,780
가봉을 마친 클래식 리본 바지		4		12																									4																																							4																							-	370	-	-	-	3,706	7,412	3,706
가봉을 마친 클래식 셔츠 바지		4		12																									4																																							4																							-	370	-	-	-	3,706	7,412	3,706
가봉을 마친 투버튼 심플 바지				3																																																																																							-		-	-	-	329	658	329
가봉을 마친 투버튼 심플 원피스				3																																																																																							-		-	-	-	329	658	329
가봉을 마친 트위스트 후드 바지		8		34													6												19		12																																					2																							-	1,858	-	-	-	18,580	37,160	18,580
가봉을 마친 트위스트 후드 원피스		8		34													6												19		12																																					2																							-	1,858	-	-	-	18,580	37,160	18,580
가봉을 마친 화이트엔젤 보건의 가운		92		235				6	4	5									4			13		59	6				144	6	58	18		120	6	6	4				6	5	7	13			2	24							5		3	2	1					2개	2개		5	23		10	27	23		4		7	10	12	53				10				60				2,089	208,956	-	-	-	2,089,567	4,179,134	2,089,567
가봉을 마친 화이트엔젤 보건의 원피스		92		235				6	4	5									4			13		59	6				144	6	58	18		120	6	6	4				6	5	7	13			2	24							5		3	2	1					2개	2개		5	23		10	27	23		4		7	10	12	53				10				60				2,089	208,956	-	-	-	2,089,567	4,179,134	2,089,567
그라스호퍼 모조 잔디 카펫		32		60						5														30	2				40		20			20									1	1																												20				1	10		17												103	10,324	10*10	985	9.85	103,240	206,480	103,240
금사 노블레스 러그		80		192						5												8		30	2				121		50			44									1	1				8																				8			8	20				1	10		53												279	27,924	10*11	1,971	17.92	279,240	558,480	279,240
금사 타래																																		3														1																																											-	348	-	-	-	3,483	6,966	3,483
꿈속의 유니콘 별해먹    		22		352										309			372							100	44	27			352		186	12		366	206							1000	103	130				153			150		150			6							22					132			145	139				103			116												8,474	847,454	4*8	2,569	80.28	8,474,549	16,949,098	8,474,549
네이비 도트 방석 체어				6																				4	4				2		3													2																																															7	749	2*2	94	23.50	7,499	14,998	7,499
노블레스 나이트 드레스		12		43				6	4													5		27	4				23		8	14		72								5	6	12			2	16			11	11	1	11			3	2	1									13			13	3				6											60				896	89,659	-	-	-	896,597	1,793,194	896,597
노블레스 나이트 파자마		12		43				6	4													5		27	4				23		8	14		72								5	6	12			2	16			11	11	11	11			3	2	1									13			13	3				6											60				896	89,659	-	-	-	896,597	1,793,194	896,597
노블레스 다이닝 테슬 의자				15													6							11	28		12		19	9	3	4		8										8												1												7			15								4	3				5							193	19,350	3*3	570	63.33	193,507	387,014	193,507
노블레스 드 로브		4		39																				20	4				21					58									4	8			2	11			10	10	10	10			3	2										12			6	3				4											60				393	39,371	-	-	-	393,717	787,434	393,717
노블레스 드 쥐스토코르		4		39																				20	4				21					58									4	8			2	11			10	10	10	10			3	2										12			6	3				4											60				393	39,371	-	-	-	393,717	787,434	393,717
노블레스 로얄 골드 발 매트				33													10							1					11		3	2		14														6								1							2								4	3																			127	12,730	4*2	244	30.50	127,305	254,610	127,305
노블레스 로제타 인형									3	4														4								3		8							2		1	1														1																		1											30				72	7,200	2*2	237	59.25	72,005	144,010	72,005
노블레스 벨벳커튼 벽장식				180										36										125	120	36			36			10		28	24								126	42		66	24	11																							5					126			24			21		30			40				1,116	111,634	9*10	3,635	40.39	1,116,342	2,232,684	1,116,342
노블레스 실크 스크롤 액자		24		6								35		15		9	18							12	6				6			8		8	10							60	25	5										18									5								4				25	46	26		8	55											368	36,898	3*7	1,029	49.00	368,987	737,974	368,987
노블레스 유능한 남집사 제복		92		235				6	4	5												13		59	6				144	3	58	18		123							3	5	7	13			2	25									3	2	1									21		5	23	23				7	10	1	53								60				1,949	194,935	-	-	-	1,949,619	3,899,238	1,949,619
노블레스 유능한 여집사 제복		92		235				6	4	5									2			13		59	6				144		58	18		123		3						5	7	13			2	25									3	2	1									21			23	23		2		7	10		53								60				1,949	194,961	-	-	-	1,949,619	3,899,238	1,949,619
도트 원형 러그		32		60																				10					40		10			20																																													12												49	4,997	10*10	684	6.84	49,971	99,942	49,971
라임 그린꽃 벽지				18													3								14				6													10												3																											5										20	2,065	-	-	-	20,652	41,304	20,652
레이스				1																									1																																																														-	21	-	-	-	217	434	217
로얄 노블레스 다이닝 러그		160		384						10				12		6	42	6	12			16		88	28		18	24	242		100	16		122	8					6		86	18	8		12		22				3	12	9	2							4						16			24	40				18	20		106			11		11		140					1,948	194,824	15*10	5,391	35.94	1,948,244	3,896,488	1,948,244
로즈우드 앤틱 실타래 선반				6																					4				6																																																		2												4	415	4*3	97	8.08	4,159	8,318	4,159
리본 타이 반바지				38																									11																						2	2	2	2														6																							-	1,700	-	-	-	17,008	34,016	17,008
모던 남성 정장		4		36																				20	4				18					40									4	8			2				3	3	3	3														10				3				4															-	14,076	-	-	-	115,765	231,530	115,765
모던 여성 정장		4		36																				20	4				18					40									4	8			2				3	3	3	3														10				3				4															-	14,076	-	-	-	140,765	281,530	140,765
무명천				1																																																																																							-	8	-	-	-	88	176	88
바나나 인형 의자		16		48					9	12			8	6			8			5				16		10						9		32	4						6		5	15				12										3																		5			4									90			365	36,513	4*3	534	44.50	365,136	730,272	365,136
베이직 라운딩 러그	10			6																																																																											3												-	90	10*10	101	1.01	903	1,806	903
벨벳천																								1								2		2																																					1																				-	1,752	-	-	-	17,527	35,054	17,527
별무늬 맨투맨 반바지				5																									2																						1	1	1	1														1																							-	239	-	-	-	2,399	4,798	2,399
별무늬 맨투맨 청바지				5																									2																						1	1	1	1														1																							-	239	-	-	-	2,399	4,798	2,399
별빛 숲속 캠핑장 스티치 무릎담요																6								5								10		10						6			2	2					2							4										3					5																				172	17,271	2*2	300	75.00	172,710	345,420	172,710
봉제 곰 인형				5																																																																																							-	48	2*2	29	7.25	488	976	488
봉제 곰인형 장식장		8		24																				3	6																																																							3											8	892	3*2	127	21.17	8,920	17,840	8,920
빨간 리본		2		1																																																																																							-	15	-	-	-	156	312	156
빨간 무명천		2		1																																																																																							-	12	-	-	-	125	250	125
산뜻한 봄날 극세사 매트				10																									13		3																																																2												4	449	4*2	69	8.63	4,495	8,990	4,495
쉐프 볼륨 스커트				24																				10	4				14					20										8							5	5	5	5														6																							-	5,919	-	-	-	59,197	118,394	59,197
쉐프 에이프런 바지				24																				10	4				14					20										8							5	5	5	5														6																							-	5,919	-	-	-	59,197	118,394	59,197
스텔라 노블레스 발매트				33													10							1					11		3	2		14														4																							4	3																			80	8,005	4*2	244	30.50	80,055	160,110	80,055
식탁보				12																									4																																																														-	248	-	-	-	2,481	4,962	2,481
실크																								1										2																																																									-	154	-	-	-	1,547	3,094	1,547
아가일 패턴 매트				2																																																																											1												-	26	3*2	19	3.17	268	536	268
앨리스 키친 쿠션 의자				7																				6	4				7		3			4										2																																															15	1,534	2*2	138	34.50	15,347	30,694	15,347
에이프런 프릴 원피스				38																									11																						2	2	2	2														6																							-	1,700	-	-	-	17,008	34,016	17,008
여유만만 직장 선배 복장		6		37																				20	4				18					40									4	8			4				6	6	6	6														23			3	3				4															-	21,930	-	-	-	219,303	438,606	219,303
열정적인 신입사원 복장		6		37																				20	4				18					40									4	8			4				6	6	6	6														23			3	3				4															-	21,930	-	-	-	219,303	438,606	219,303
옹기종기 털실 바구니				2																									4																																																		2												-	70	2*3	33	5.50	707	1,414	707
완두콩 인형		8		24									4											3					28			6		6																		2		2																	23								8												16	1,608	-	-	-	16,083	32,166	16,083
원형 피스 러그		16		16																									3																																																														2	250	9*9	138	1.70	2,500	5,000	2,500
윈터벨 망토 원피스				30																									10		10													4							3	3	3	3														2			6	5																			-	3,787	-	-	-	37,878	75,756	37,878
윈터벨 코트 의상				30																									10		10													4							3	3	3	3														2			6	5																			-	3,787	-	-	-	37,878	75,756	37,878
유러피안 극세사 러그		16		44																									27		10																																																12												17	1,782	7*7	284	5.80	17,824	35,648	17,824
유러피안 반달 매트				5																									4																																																		1												1	106	-	-	-	1,062	2,124	1,062
유러피안 사각 매트				14																									7																																																		6												3	350	4*2	64	8.00	3,506	7,012	3,506
유러피안 스너그 체어		2		8																				4					8																																																														2	200	2*2	47	11.75	2,003	4,006	2,003
자카드 노블레스 카페트		80		192						5						6	36	6	12			8		56	26		18	24	121		50	12		74						6		66	13	3		12		14				3	12	3	2													8			14	20				13	10		53			11		11		140					1,001	100,100	13*16	3,794	18.24	1,001,007	2,002,014	1,001,007
지그재그 스티치 벽지				10																				20																																																								10											3	372	4*2	31	3.88	3,721	7,442	3,721
천				3																									1																																																														-	46	-	-	-	461	922	461
코코넛 러그		66		126						10											7			70	4				87		40	5		60									2	2																											5	40				2	20		36												366	36,645	10*10	1,739	17.39	366,459	732,918	366,459
클래식 리본 바지		4		12																									4																						1	1	1	1														4																							-	573	-	-	-	5,736	11,472	5,736
클래식 셔츠 바지		4		12																									4																						1	1	1	1														4																							-	573	-	-	-	5,736	11,472	5,736
털실																													1																																																														-	8	-	-	-	83	166	83
통통비치 로맨틱 의자				15																					9				5																																																		3												8	844	3*3	139	15.44	8,440	16,880	8,440
통통비치 피크닉 돗자리	2	4	3	32										1			10												12																																							1																							10	1,080	5*6	227	7.57	10,807	21,614	10,807
투버튼 심플 바지				3																																															1	1	1	1																																					-	126	-	-	-	1,261	2,522	1,261
투버튼 심플 원피스				3																																															1	1	1	1																																					-	126	-	-	-	1,261	2,522	1,261
트위스트 후드 바지		8		34													6												19		12																				2	2	2	2														2																							-	2,700	-	-	-	27,001	54,002	27,001
트위스트 후드 원피스		8		34													6												19		12																				2	2	2	2														2																							-	2,700	-	-	-	27,001	54,002	27,001
패브릭 3종 세트				7																					3				2																																							1																							3	345	2*2	63	15.75	3,450	6,900	3,450
패브릭 리본 행거		2		2																				2																																																																			-	36	4*2	26	3.25	365	730	365
페가수스 인형				28																					12				8		7	7																											3									4																			30				116	11,651	2*3	221	36.83	116,516	233,032	116,516
포포레스랜드 왕리본 머리띠	24	24		237				40	56	18		4	2	204	6	129	124		32		16	10	6	163	168	52	20	108	131	66	36	28	4	182	136	36				105	60	410	189	191		42	34	68	20	12	60		60				6	14	2			6	12			4		84		60	56	6		24	20	157	8	16	32	70	6	17		16	10		120				6,521	652,105			-	6,521,052	13,042,104	6,521,052
폭신폭신 구름 카펫				14										60			60												28		10			10	40							200	20	20							30		30							5개																20			14												618	61,824	11*7	1,232	16.00	618,242	1,236,484	618,242
핑크 바니 수건걸이				9																					2				3		4																																																												4	463	2*5	82	8.20	4,632	9,264	4,632
하늘 넝쿨 벽지				5													3							16	20						10											10											3																																						25	2,524	-	-	-	25,246	50,492	25,246
해피바스 리본 슬리퍼		8		4																									2		8																																					1																							4	493	2*2	64	16.00	4,934	9,868	4,934
화이트 도트 벽지														6			6							20	20										4							20	2	2								3		3																						2															50	5,004	-	-	-	50,049	100,098	50,049
화이트엔젤 보건의 가운		92		235				6	4	5									4			13		59	6				144	6	58	18		120	6	6	4				6	5	7	13			2	24			10	10	10	10	5		3	2	1					2개	2개		5	23		10	27	23		4		7	10	12	53				10				60				3,071	307,138	-	-	-	3,071,380	6,142,760	3,071,380
화이트엔젤 보건의 원피스		92		235				6	4	5									4			13		59	6				144	6	58	18		120	6	6	4				6	5	7	13			2	24			10	10	10	10	5		3	2	1					2개	2개		5	23		10	27	23		4		7	10	12	53				10				60				3,071	307,138	-	-	-	3,071,380	6,142,760	3,071,380
