가드닝 파티용 헬륨 풍선		4		2										12			8																		8								4	4																																4															22	2,219	3*3	210	23.33	22,192	44,384	22,192
광산앰플 : 중급 가속														3																					2								1	1									2																							1										5					-	10	-	-	-	-	-	-
광산앰플 : 중급 성장														3																					2								1	1										2																						1										5					-	10	-	-	-	-	-	-
광산앰플 : 중급 숙련														3																					2								1	1							2																									1										5					-	10	-	-	-	-	-	-
광산앰플 : 중급 행운														3																					2								1	1								2																								1										5					-	10	-	-	-	-	-	-
광산앰플 : 초급 가속																																	2																				1																																		1				-	108	-	-	-	1,089	2,178	1,089
광산앰플 : 초급 성장																																	2																					1																																	1				-	108	-	-	-	1,089	2,178	1,089
광산앰플 : 초급 숙련																																	2																		1																																				1				-	108	-	-	-	1,089	2,178	1,089
광산앰플 : 초급 행운																																	2																			1																																			1				-	108	-	-	-	1,089	2,178	1,089
꿈속의 유니콘 위싱 웰				226								70		120		123	66							117	238	108	91		108	78	18			42	83					102	51	12	274	213		12	3	77	18	12								3				62	60	1개		9		109		85	14				62	229	78	22		138		6		30			30				7,308	730,800	6*7	4,168	99.24	7,308,002	14,616,004	7,308,002
꿈속의 유니콘 징검돌	48							48	24					150		240								152	128	64		168							100					192			194	226		20	53	28	24							10		20	2				31				5	20			60	15			40	194	16	8	8	72		10		32		250					3,859	385,959	5*5	2,542	101.68	3,859,593	7,719,186	3,859,593
낚시앰플 : 중급 가속														3																					2								1	1									2																							1										5					-	10	-	-	-	-	-	-
낚시앰플 : 중급 꽁치의 행운														3																					2								1	1								2																								1										5					-	1,410	-	-	-	-	-	-
낚시앰플 : 중급 성장														3																					2								1	1										2																						1										5					-	10	-	-	-	-	-	-
낚시앰플 : 중급 숙련														3																					2								1	1							2																									1										5					-	10	-	-	-	-	-	-
낚시앰플 : 초급 가속																																																					1																													2					1				-	130	-	-	-	1,300	2,600	1,300
낚시앰플 : 초급 꽁치의 행운																																																				1																														2									-	130	-	-	-	1,300	2,600	1,300
낚시앰플 : 초급 성장																																																						1																												2					1				-	130	-	-	-	1,300	2,600	1,300
낚시앰플 : 초급 숙련																																																			1																															2					1				-	130	-	-	-	1,300	2,600	1,300
남보라빛 10종 랜덤염색약														6			3																		4							10	2	2									3																							2															-	1,438	-	-	-	14,387	28,774	14,387
남보라빛 6종 랜덤염색약														12			6																		8							20	4	4									6																							4															-	3,945	-	-	-	39,454	78,908	39,454
노란빛 10종 랜덤염색약																	3																									10										3																																							-	542	-	-	-	5,423	10,846	5,423
노란빛 6종 랜덤염색약																	6																									20										6																																							-	1,479	-	-	-	14,799	29,598	14,799
동물앰플 : 중급 가속														3																					2								1	1									2																							1										5					-	10	-	-	-	-	-	-
동물앰플 : 중급 성장														3																					2								1	1										2																						1										5					-	10	-	-	-	-	-	-
동물앰플 : 중급 숙련														3																					2								1	1							2																									1										5					-	10	-	-	-	-	-	-
동물앰플 : 중급 행운														3																					2								1	1								2																								1										5					-	10	-	-	-	-	-	-
동물앰플 : 초급 가속																														1																							1																																		1				-	104	-	-	-	1,048	2,096	1,048
동물앰플 : 초급 성장																														1																								1																																	1				-	104	-	-	-	1,048	2,096	1,048
동물앰플 : 초급 숙련																														1																					1																																				1				-	104	-	-	-	1,048	2,096	1,048
동물앰플 : 초급 행운																														1																						1																																			1				-	104	-	-	-	1,048	2,096	1,048
레모니 퍼퓸 포푸리										15						3							6		6	2														3			4	4																								3								4															40	4,031	2*5	280	28.00	40,316	80,632	40,316
반짝반짝 분홍 별가루																			2																	3	2																															1			2			2									5								-	1,482	-	-	-	14,826	29,652	14,826
반짝반짝 주황 별모래																			2																	3																																						2																	-	662	-	-	-	6,621	13,242	6,621
반짝반짝 초록 별모래																														3											3																													5								1													-	643	-	-	-	6,437	12,874	6,437
반짝반짝 파란 별가루																														3					3						3																											1		5	2							6													-	1,361	-	-	-	13,613	27,226	13,613
백금 금속														1.5		1.5																			1					1.5			1	1						1																										1															-	339	-	-	-	3,395	6,790	3,395
보라빛 10종 랜덤염색약																	6																									20									3		3																																						-	1,468	-	-	-	14,681	29,362	14,681
보라빛 6종 랜덤염색약																	12																									40									6		6																																						-	4,026	-	-	-	40,260	80,520	40,260
붉은빛 10종 랜덤염색약																	3																									10									3																																								-	542	-	-	-	5,423	10,846	5,423
붉은빛 6종 랜덤염색약																	6																									20									6																																								-	1,479	-	-	-	14,799	29,598	14,799
빨간 황소 물약																3																								3			1	1																																1															-	470	-	-	-	4,701	9,402	4,701
식물앰플 : 중급 가속														3																					2								1	1									2																							1										5					-	10	-	-	-	-	-	-
식물앰플 : 중급 성장														3																					2								1	1										2																						1										5					-	10	-	-	-	-	-	-
식물앰플 : 중급 숙련														3																					2								1	1							2																									1										5					-	10	-	-	-	-	-	-
식물앰플 : 중급 행운														3																					2								1	1								2																								1										5					-	10	-	-	-	-	-	-
식물앰플 : 초급 가속															1																																						1																																		1				-	104	-	-	-	1,045	2,090	1,045
식물앰플 : 초급 성장 															1																																							1																																	1				-	104	-	-	-	1,045	2,090	1,045
식물앰플 : 초급 숙련															1																																				1																																				1				-	104	-	-	-	1,045	2,090	1,045
식물앰플 : 초급 행운															1																																					1																																			1				-	104	-	-	-	1,045	2,090	1,045
알루미늄 금속																3																								3			1	1					1																																										-	202	-	-	-	2,022	4,044	2,022
에메랄드 귀걸이														6		18																			4					18			12	8			1									2																3				12										50					85	8,565	-	-	-	85,861	-	85,861
자주빛 10종 랜덤염색약														6			3																		4							10	2	2							3																									2															-	1,438	-	-	-	14,387	28,774	14,387
자주빛 6종 랜덤염색약														12			6																		8							20	4	4							6																									4															-	3,945	-	-	-	39,454	78,908	39,454
주황빛 10종 랜덤염색약														6			3																		4							10	2	2								3																								2															-	1,438	-	-	-	14,387	28,774	14,387
주황빛 6종 랜덤염색약														12			6																		8							20	4	4								6																								4															-	3,945	-	-	-	39,454	78,908	39,454
청록빛 10종 랜덤염색약														6			3																		4							10	2	2										3																						2															-	1,438	-	-	-	14,387	28,774	14,387
청록빛 6종 랜덤염색약														12			6																		8							20	4	4										6																						4															-	3,945	-	-	-	39,454	78,908	39,454
청회색빛 10종 랜덤염색약														6			6																		4							20	2	2								3		3																						2															-	2,706	-	-	-	27,065	54,130	27,065
청회색빛 6종 랜덤염색약														12			12																		8							40	4	4								6		6																						4															-	7,456	-	-	-	74,565	149,130	74,565
초록빛 10종 랜덤염색약																	3																									10												3																																					-	542	-	-	-	5,423	10,846	5,423
초록빛 6종 랜덤염색약																	6																									20												6																																					-	1,479	-	-	-	14,799	29,598	14,799
파란 야크 물약					5																																3						1	1																																1															-	448	-	-	-	4,482	8,964	4,482
파란톱니물약														3																					2								1	1																																1															-	260	-	-	-	2,603	5,206	2,603
포포레스랜드 둥실둥실 열기구		8		456								140		264		246	148		6					234	476	216	182		216	165	36			84	182	9				204	111	24	556	434		24	6	154	36	24								6				124	120			18		218		185	28			6	124	466	156	47		276		12		60			60				22,022	2,202,252	3*3	3,075	341.67	22,022,524	44,045,048	22,022,524
포포레스랜드 별빛 잔디 바닥	18	18		376	25								6	183	18	105	186	6	40					270	252	12	114	44	242	150	20			146	128	27	25			105	6	560	221	164		96	68	42	18	30	60	18	60	30	4	5			9							12	15	55		10	14			18		209	192	12	52			68	25	21	9						11,217	1,121,700	-	100		11,217,003	22,434,006	11,217,003
포포레스랜드 별빛 하늘 벽지		4		656					60				6	283.5		169.5	294		22		16		24	624	680	394	174		174	93	50	32		58	210	33				169.5	129	418	770	468		284	108	99	18	25		36	12	72				3	14			82	70			21		127		155	30			22	12	646	240	66	88	60		119		85	9		60				25,951	2,595,171	-	100		25,951,712	51,903,424	25,951,712
푸른빛 10종 랜덤염색약																	3																									10											3																																						-	542	-	-	-	5,423	10,846	5,423
푸른빛 6종 랜덤염색약																	6																									20											6																																						-	1,479	-	-	-	14,799	29,598	14,799
화이트엔젤 이동식 링거				30												18																								18			18	12				12	3						2											8	4									15															145	14,572	2*2	282	70.50	145,726	291,452	145,726
화이트엔젤 청진기														9		21	8		10																6					21			14	10			1			2						2		1		5개												3		10		14										50					200	20,035	3*2	431	71.83	200,359	400,718	200,359
황회색빛 10종 랜덤염색약																	6																									20										3		3																																					-	1,468	-	-	-	14,681	29,362	14,681
황회색빛 6종 랜덤염색약																	12																									40										6		6																																					-	4,026	-	-	-	40,260	80,520	40,260
회색빛 10종 랜덤염색약														6			6																		4							20	2	2							3		3																							2															-	2,706	-	-	-	27,065	54,130	27,065
회색빛 6종 랜덤염색약														12			12																		8							40	4	4							6		6																							4															-	7,456	-	-	-	74,565	149,130	74,565
힐링 스파 버블 바스 카트	4	192		170								40		159		105	48							74	112		48		56			20		20	106					105			284	106				56	13	26					6	8							9			30	12				10				56	199	208		84	200											3,033	303,309	4*3	921	76.75	3,033,098	6,066,196	3,033,098
힐링 스파 플로팅 아쿠아캔들				118					24					123		111	72		16					84	120	104	72		18	72					82	24				111	84	18	250	241			40	81	18	18								3		8개		48	70			8		96		120				16	12	150	108	24		60											6,265	626,577	3*3	621	69.00	6,265,774	12,531,548	6,265,774
